Subject,day,group,pathL,searchArea,runSpeed,runAngVel,stopAngVel,numRuns,numStops,outside_hb_stop,CueEntries,CueStops,runAcell
9,D2,Tg,7698.33917465989,0.376708428246014,14.9232219273943,65.7797908060144,19.6891943356902,158,160,0.00625,24,30,19.8313970343243
10,D1,Tg,2596.5850253624,0.175398633257403,10.9121874458357,74.9302624110548,23.0627135364209,85,138,0.152173913043478,52,57,14.7040555294753
10,D2,Tg,4023.18306880034,0.271355353075171,17.524860104183,58.7810583347844,15.3433517118054,66,100,0.01,3,8,20.7896763354035
11,D1,Tg,3361.7566616376,0.284738041002278,11.6081101030662,66.6632897334796,15.1562730148163,90,92,0,2,1,14.8020361334682
11,D2,Tg,1208.82440820489,0.105353075170843,14.0732230957231,68.4697766207207,14.306601783102,25,39,0.0256410256410256,3,3,19.7963345514273
12,D1,Tg,1142.27355536675,0.0680523917995444,10.7305009832564,75.0175928816633,21.0351633716384,37,54,0.185185185185185,0,0,18.5094591358028
12,D2,Tg,267.482835082209,0.0193621867881549,11.6463269599266,85.9924499640868,18.2577643573386,7,20,0.85,0,0,17.4778331340686
13,D1,Wt,1140.49521974558,0.071753986332574,11.4193312368648,64.1549221726436,15.0281653650626,27,45,0.0444444444444444,0,0,14.0651905683114
13,D2,Wt,1661.97810748335,0.1124715261959,10.9042041339008,65.0858696221547,12.8004293424488,31,64,0.8125,1,0,12.3005253623724
14,D1,Wt,1118.37929990116,0.0586560364464692,8.65805043424398,96.0354369450121,38.7357625240676,32,80,0.9,25,55,12.7953310552317
14,D2,Wt,1159.18447133927,0.0817198177676538,9.47198963873869,79.4667437432126,18.0028074797767,32,54,0.62962962962963,0,0,12.4856050320073
15,D1,Wt,2194.30659303439,0.0996583143507973,9.15027597570084,63.8286218116133,18.0361876140173,59,77,0,0,0,12.5762271444057
15,D2,Wt,2117.07281353022,0.107061503416856,10.7794537279502,53.2471730813601,17.2275594279783,56,94,0.0319148936170213,0,0,13.4823414638862
16,D1,Wt,1118.36172713342,0.0452733485193622,7.31153964383804,77.0877644733473,21.4577880265545,57,96,0.90625,49,49,11.7542734876437
16,D2,Wt,765.931239071899,0.0466970387243736,11.3092663936895,83.3756670769819,36.7424608050326,16,34,0.764705882352941,6,13,17.751355734214
17,D1,Wt,1319.40043647701,0.0714692482915718,10.4790715610179,71.375153743026,15.1747428760226,28,49,0.183673469387755,0,0,14.7255608671375
17,D2,Wt,1627.310147745,0.125284738041002,9.92126729597739,74.6942581520847,25.2448339898748,44,60,0.0333333333333333,6,23,12.629037943309
18,D1,Wt,746.854433448897,0.0355922551252847,9.64011471223751,79.9199924964854,15.3376763809618,23,40,0.725,13,21,16.0108485621767
18,D2,Wt,432.016005279024,0.0301822323462415,10.2670909668206,74.3825995134419,22.6070695675233,12,21,0.761904761904762,0,0,21.4199352006757
19,D1,Wt,1932.67351069888,0.124715261958998,10.6806347503668,72.0861153238835,23.7999084319007,52,81,0.938271604938272,33,54,15.0654898591534
19,D2,Wt,2129.41441911824,0.13496583143508,11.1777442475438,63.071971748748,13.1999087803438,63,70,0,1,1,15.3817686136403
20,D1,Wt,1804.44665059968,0.109624145785877,9.64395016508193,76.2952542787436,28.2258443476581,50,89,0.629213483146067,36,31,13.4703503941351
20,D2,Wt,1164.89717421184,0.0831435079726651,10.5084116070899,57.4057405786697,14.4090815046838,38,64,0.4375,1,0,13.3373120280859
21,D1,Wt,1350.17024332501,0.0956719817767654,9.13071127916382,88.7477261213749,18.3582122458993,42,81,0,15,15,13.8407509971719
21,D2,Wt,460.936677682771,0.0321753986332574,11.0627566185342,87.3122571183277,39.9213506692685,10,24,0.791666666666667,18,20,16.9894691161615
22,D1,Wt,4495.75892596509,0.284168564920273,13.3077436016864,74.5921658357515,28.6906504952602,90,121,0.322314049586777,23,34,15.6100128083457
22,D2,Wt,2683.86794729821,0.140660592255125,14.1624744435154,68.2981681001798,22.2869874796737,46,74,0.716216216216216,23,50,17.2602448841336
23,D1,Wt,1938.92294317128,0.0905466970387244,9.71883290539159,87.2272120353986,36.3121964669027,49,103,0.932038834951456,47,94,16.1495148688439
23,D2,Wt,4868.63372040322,0.287300683371298,14.2687534699502,77.9900307827333,25.1331364874041,81,90,0.0222222222222222,12,5,19.7272958985963
24,D1,Wt,2089.80071735016,0.082004555808656,9.17559429570452,86.789272486439,31.723088011258,55,103,0.766990291262136,35,80,15.9368637205427
24,D2,Wt,4039.88489058491,0.229214123006834,11.3593542077415,65.6270188259478,18.169080192638,98,120,0.00833333333333333,15,38,15.9007270337067
