subID,group,day,path_length,median_velocity,median_abs_acceleration,median_abs_angular_velocity,search_area,thigmotaxis
Tg102_D1,tg,D1,2863.6913980893,4.31579893631734,13.4561182347814,21.8493112643078,0.123291571753986,37.9333333333333
Tg102_D2,tg,D2,1332.76992671227,3.98900668007024,12.4538105683873,7.86408039363046,0.0281890660592255,1780.66666666667
Tg103_D1,tg,D1,2577.24687639552,4.30375194944204,13.7769571069517,6.68791983999925,0.0355922551252847,342.733333333333
Tg103_D2,tg,D2,2020.26039385634,4.247105444417,13.7134043065838,8.26804002918189,0.0726082004555809,1736.16666666667
Tg104_D1,tg,D1,2571.39032096974,4.25098276817257,13.1968521048911,7.47079289841316,0.0743166287015945,1774.23333333333
Tg104_D2,tg,D2,1448.00513315081,3.97033573172075,12.0786436404567,8.56509129770212,0.0407175398633257,1785.76666666667
Tg105_D1,tg,D1,4231.29899214297,4.6498381220706,14.6606015352386,6.84799098764968,0.0523917995444191,70.0333333333333
Tg105_D2,tg,D2,4160.30126018769,4.55373922530189,14.2994491690894,7.29013479073908,0.222380410022779,1704.13333333333
Tg106_D1,tg,D1,2125.15934373222,4.51412136211374,13.5302531989698,8.80054152060621,0.0911161731207289,1666.46666666667
Tg106_D2,tg,D2,1423.28803056072,4.08751573874502,12.4807288226811,6.33466804388746,0.0427107061503417,1759.43333333333
Tg108_D1,tg,D1,4065.88655619281,4.75868306808074,15.1947392204333,7.89605453810464,0.194191343963554,999
Tg108_D2,tg,D2,2773.58632017206,4.20709915789722,12.8322684558336,7.62348746573583,0.063496583143508,1787.6
Tg109_D1,tg,D1,4012.9263784275,4.69014970698045,14.9525558945088,7.15094815588594,0.159453302961276,467.3
Tg109_D2,tg,D2,2747.06242986434,4.48487559912971,14.6616838764782,7.02730877309606,0.128986332574032,1775.1
Tg110_D1,tg,D1,4341.62211069298,4.82591541182459,14.9795798534394,7.54677531616573,0.156036446469248,1771.06666666667
Tg110_D2,tg,D2,3250.70047826446,4.41970765700831,13.396887502644,5.37626953815595,0.121013667425968,1788.53333333333
Tg111_D1,tg,D1,4950.23559694448,4.66322493934207,15.0422168108271,6.48928763975376,0.150341685649203,1430.83333333333
Tg111_D2,tg,D2,8970.26453197233,5.95948801507031,18.7470326638318,6.59548906833357,0.380410022779043,1713
Tg112_D1,tg,D1,4799.56524134577,4.60679418085314,14.7654414219661,7.35203687086615,0.177391799544419,735.266666666667
Tg112_D2,tg,D2,5685.59507274482,4.60423808638664,14.6316227803108,6.00671155890756,0.26879271070615,1773.33333333333
Tg113_D1,tg,D1,5411.44400437719,4.85235511902033,15.6490912625947,6.60408314451522,0.301822323462415,754.733333333333
