subID,group,day,stop_id,stop_time,stop_cue_proximity,inter_stop_interval,stop_start_time
Tg102,tg,D1,1,3.26666666666667,105.057692425972,NaN,46.85
Tg102,tg,D1,2,4.36666666666667,80.4566689050489,22.0333333333333,70.65
Tg102,tg,D1,3,2.8,73.7897570052852,11.1666666666667,82.0166666666667
Tg102,tg,D1,4,9.26666666666667,74.0808655422569,11.2666666666667,86.8166666666667
Tg102,tg,D1,5,3.73333333333333,74.2162915564282,6.76666666666667,97.95
Tg102,tg,D1,6,1,74.247914868556,8.06666666666666,108.483333333333
Tg102,tg,D1,7,23.8666666666667,73.0064935627618,9.76666666666667,112.216666666667
Tg102,tg,D1,8,9.46666666666667,73.20800595958,28.9666666666667,142.35
Tg102,tg,D1,9,63.2333333333333,73.6097542022704,22.6666666666667,153.483333333333
Tg102,tg,D1,10,17.6666666666667,73.9938891432331,62.7666666666667,217.783333333333
Tg102,tg,D1,11,11.4666666666667,73.249639075532,9.06666666666669,237.416666666667
Tg102,tg,D1,12,8.09999999999999,73.8757047097401,13.4,251.583333333333
Tg102,tg,D1,13,6.10000000000002,74.5756253033118,7.76666666666665,261.483333333333
Tg102,tg,D1,14,10.5,73.8147830199722,8.83333333333331,270.783333333333
Tg102,tg,D1,15,69.8666666666667,73.358220089303,48.3333333333334,282.65
Tg102,tg,D1,16,25.0333333333334,73.5965956002223,35.1,354.483333333333
Tg102,tg,D1,17,1.36666666666667,73.3556172754378,26.6666666666667,381.783333333333
Tg102,tg,D1,18,12.7666666666667,74.0227806186759,9.09999999999997,385.716666666667
Tg102,tg,D1,19,23.0666666666667,73.4598908123001,17.9,400.016666666667
Tg102,tg,D1,20,7.83333333333331,73.2580770509776,19.2,424.283333333333
Tg102,tg,D1,21,15.6,71.583308665323,22.5,447.083333333333
Tg102,tg,D1,22,2.79999999999995,72.6738986382973,20,470.25
Tg102,tg,D1,23,4.19999999999999,67.752748643289,15.2,485.45
Tg102,tg,D1,24,10.5,70.5839552742401,52.3333333333333,529.383333333333
Tg102,tg,D1,25,2.70000000000005,97.8581131908774,8,545.783333333333
Tg102,tg,D1,26,7.10000000000002,97.6805271831904,16.9666666666667,557.516666666667
Tg102,tg,D1,27,7.39999999999998,97.2023920471576,10.2333333333333,571.616666666667
Tg102,tg,D1,28,6.63333333333333,98.3714064051398,8.66666666666663,580.75
Tg102,tg,D1,29,4.40000000000009,97.5558041976486,10.1666666666667,589.45
Tg102,tg,D1,30,6.20000000000005,97.2755389448671,9.63333333333333,597.05
Tg102,tg,D1,31,14.0666666666666,97.9111472338045,10.3666666666667,611.616666666667
Tg102,tg,D1,32,4.5,97.0822807658731,19.9666666666666,630.283333333333
Tg102,tg,D1,33,3.76666666666665,97.4517379244434,5.5,636.15
Tg102,tg,D1,34,2.23333333333335,97.5327245150188,3.89999999999998,641.383333333333
Tg102,tg,D1,35,18.0333333333333,97.5914434617649,3.73333333333335,645.383333333333
Tg102,tg,D1,36,15.2333333333333,97.7801663860406,30.5,665.783333333333
Tg102,tg,D1,37,9.06666666666661,97.0710025231652,13.6333333333333,683.116666666667
Tg102,tg,D1,38,9.33333333333337,97.6284378496248,9.26666666666677,693.65
Tg102,tg,D1,39,4.83333333333337,101.553433177389,14.6333333333333,711.15
Tg102,tg,D1,40,4.53333333333342,102.51011538046,4.16666666666663,717.083333333333
Tg102,tg,D1,41,24.8000000000001,102.761955078911,29.1333333333333,723.916666666667
Tg102,tg,D1,42,1.93333333333339,101.975015239556,4.43333333333328,750.416666666667
Tg102,tg,D1,43,15.0333333333333,102.535111265334,3.76666666666677,754.216666666667
Tg102,tg,D1,44,51.0333333333333,102.238732940088,62.0999999999999,770.383333333333
Tg102,tg,D1,45,12.9333333333334,101.126251392384,16.0666666666667,822.683333333333
Tg102,tg,D1,46,16.9666666666666,101.76114880508,5.56666666666661,837.75
Tg102,tg,D1,47,9.13333333333333,101.115003893268,28.6666666666667,859.783333333333
Tg102,tg,D1,48,2.63333333333333,100.920975834396,8.69999999999993,874.916666666667
Tg102,tg,D1,49,8.70000000000005,100.949910818869,10.4666666666667,885.283333333333
Tg102,tg,D1,50,2.16666666666674,103.47535886444,11.7,897.95
Tg102,tg,D1,51,2.66666666666663,97.8844836275493,9.10000000000002,906.783333333333
Tg102,tg,D1,52,2.5,98.9022003060067,5.80000000000007,911.516666666667
Tg102,tg,D1,53,14.3666666666667,106.590352257029,12.1999999999999,918.083333333333
Tg102,tg,D1,54,1.36666666666667,103.99462397831,17.9666666666667,942.983333333333
Tg102,tg,D1,55,3.66666666666663,103.522194579521,12.5333333333333,952.816666666667
Tg102,tg,D1,56,2.0333333333333,177.700378925822,15.3000000000001,970.55
Tg102,tg,D1,57,1.20000000000005,75.2142763945135,16.6333333333333,987.85
Tg102,tg,D1,58,10.2333333333333,105.011123969089,45.1333333333332,1031.68333333333
Tg102,tg,D1,59,3.5333333333333,104.482713301395,15.2666666666669,1047.11666666667
Tg102,tg,D1,60,2.26666666666688,104.450003125749,9.33333333333326,1056.28333333333
Tg102,tg,D1,61,22.3333333333333,94.8298054652956,16.5333333333333,1064.58333333333
Tg102,tg,D1,62,7.83333333333326,95.2844217027384,18.5,1089.58333333333
Tg102,tg,D1,63,78.3666666666666,95.2028977535543,29.5,1099.61666666667
Tg102,tg,D1,64,14.2,95.154574529147,70.8333333333333,1180.88333333333
Tg102,tg,D1,65,13.5,95.7456580463088,14.5666666666666,1196.81666666667
Tg102,tg,D1,66,19.1000000000001,95.9074605257538,22.4666666666667,1212.98333333333
