subID,group,day,num_stop,proximity_cue,median_duration,median_inter_stop_interval
Tg102_D1,tg,D1,87,97.2023920471576,8.09999999999999,15.2333333333334
Tg102_D2,tg,D2,133,174.523217822132,5.33333333333326,10.1333333333333
Tg103_D1,tg,D1,99,8.41683374450914,4.89999999999998,11.8166666666668
Tg103_D2,tg,D2,83,158.496264030133,7.06666666666666,14.0666666666667
Tg104_D1,tg,D1,91,153.288764543427,6.36666666666666,12.4166666666667
Tg104_D2,tg,D2,103,160.084755142839,5.73333333333335,14.5500000000001
Tg105_D1,tg,D1,73,12.2878122877,6.33333333333337,11.7666666666667
Tg105_D2,tg,D2,64,168.706876274912,6.23333333333333,13.6
Tg106_D1,tg,D1,65,173.521558846678,7.56666666666668,15.2333333333333
Tg106_D2,tg,D2,100,165.807590375879,4.23333333333341,10.1333333333333
Tg108_D1,tg,D1,58,104.20282462979,5.75,11.5
Tg108_D2,tg,D2,75,173.554046270605,5.5,14.1833333333333
Tg109_D1,tg,D1,72,12.7923763906057,5.84999999999991,14.7
Tg109_D2,tg,D2,50,11.7395700882298,8.53333333333333,18.7666666666667
Tg110_D1,tg,D1,53,175.093654241207,6.5,17.55
Tg110_D2,tg,D2,78,172.439761238819,6.80000000000001,12.3
Tg111_D1,tg,D1,87,3.31458440465539,6.13333333333333,13.5166666666666
Tg111_D2,tg,D2,89,74.2865405669362,5.39999999999998,12.4166666666667
Tg112_D1,tg,D1,111,7.64616945638587,5.19999999999999,11.4
Tg112_D2,tg,D2,57,123.610726582641,6.73333333333335,13.5833333333333
Tg113_D1,tg,D1,64,100.775521925416,5.48333333333341,13.3
Tg113_D2,tg,D2,74,162.128155413802,10.1833333333333,19
Tg114_D1,tg,D1,80,133.21517600072,4.53333333333332,13.5333333333332
Tg114_D2,tg,D2,89,151.656900868496,4.23333333333333,10.4333333333332
WT200_D1,wt,D1,114,176.7471219129,6.06666666666661,11.6333333333333
WT200_D2,wt,D2,92,158.60079636019,7.03333333333335,13.1000000000001
WT201_D1,wt,D1,63,4.952636222346,2.73333333333335,13.55
WT201_D2,wt,D2,90,174.813838984624,6.3,12.7666666666664
WT202_D1,wt,D1,86,179.187219652327,6.53333333333333,12.2
WT202_D2,wt,D2,88,160.623218592929,7.04999999999999,12.7
WT203_D1,wt,D1,101,10.6497988523995,5.59999999999991,10.3
WT203_D2,wt,D2,82,10.401749533557,4.54999999999995,15.8333333333333
WT204_D1,wt,D1,87,161.252417958682,6.93333333333339,14.2333333333335
WT204_D2,wt,D2,99,38.2578223639909,5.76666666666665,11.45
WT205_D1,wt,D1,57,10.1251904248629,5.8,21.2166666666666
WT205_D2,wt,D2,110,166.549336057592,4.28333333333336,10.2333333333332
WT206_D1,wt,D1,77,4.81461559618917,9.36666666666667,15.8166666666667
WT206_D2,wt,D2,95,173.753883861633,6.10000000000002,10.4
WT207_D1,wt,D1,102,8.99498027554322,5.70000000000002,11.2333333333333
WT207_D2,wt,D2,79,165.618983965248,6.56666666666661,12.85
WT208_D1,wt,D1,100,10.4292093355809,6.18333333333331,11.5999999999999
WT208_D2,wt,D2,122,10.9405977024949,5.43333333333328,12
WT209_D1,wt,D1,66,12.0969600075426,6.69999999999999,12.8333333333334
WT209_D2,wt,D2,54,12.2353561259374,8.43333333333329,16.4333333333334
WT210_D1,wt,D1,68,3.32777331605725,6.58333333333331,13.7666666666667
WT210_D2,wt,D2,57,63.0801635629826,5.29999999999995,14.45
WT211_D1,wt,D1,104,3.52822040917164,6.74999999999989,12.4000000000001
WT211_D2,wt,D2,78,94.7162265989714,5.19999999999999,11.6999999999999
