subID,group,day,time_point,thigmotaxis,median_velocity,path_length,search_area,n_stops,median_stop_duration,median_inter_stop_interval,time_in_homebase,hb_stop_distance,hb_close_stops,time2hb,n_home_bases
107,tg,2,4,337.666666666667,10.6211114391244,3104.5698341068,0.702857142857143,50,4.16666666666666,8.55555555555554,66.5555555555556,38.7387639363449,15,37.483,14
107,tg,2,7,502.777777777778,12.0542676495884,3015.06480810461,0.620952380952381,54,4.5,8.33333333333331,65.2222222222222,41.0261400663303,14,17.671,12
107,tg,3,12,571.444444444444,7.94319660712846,831.655855167027,0.291428571428571,23,7,10.6666666666666,138.111111111111,33.7852254668179,9,31,4
107,tg,3,4,280.333333333333,9.25981203318269,2998.19435246378,0.643809523809524,47,3.66666666666667,7.50000000000001,100.111111111111,29.2059418114766,19,35.176,7
107,tg,3,7,554.111111111111,8.88973840895245,1812.0359672595,0.483809523809524,43,5,8.44444444444443,274.222222222222,27.5765545291311,23,17.857,3
108,tg,1,12,567.222222222222,9.37837415633171,913.221475167577,0.257142857142857,20,13.7777777777778,18.1111111111111,232.333333333333,26.0288694800688,10,143.047,3
108,tg,1,4,532.777777777778,9.16914801207709,1002.77066830322,0.436190476190476,12,4.22222222222222,12.1111111111111,379.777777777778,27.5451686435451,5,141.303,1
108,tg,1,7,539.333333333333,7.87587681029842,890.99086999855,0.331428571428571,21,5.55555555555556,11.2222222222222,168.222222222222,22.3989133616596,14,62.116,2
108,tg,2,12,556.888888888889,7.23627102853296,762.173538051726,0.285714285714286,31,6.11111111111114,9.83333333333334,140.777777777778,31.7100839893251,13,136.475,3
108,tg,2,4,505.333333333333,8.30005281722737,1603.25079101799,0.512380952380952,30,4.11111111111111,9.33333333333331,162.111111111111,30.2064276277812,12,97.984,2
108,tg,2,7,570.777777777778,8.56991557227715,880.991370102864,0.308571428571429,22,7.05555555555557,16.1111111111111,175.333333333333,30.555671944856,10,56.801,3
108,tg,3,12,566.777777777778,7.89023800100856,848.595994737206,0.257142857142857,22,10.7777777777778,17.7777777777778,110.333333333333,28.2978306789428,9,136.246,3
108,tg,3,4,405.555555555556,8.04659917553361,1860.05385317772,0.594285714285714,33,3.44444444444446,7.38888888888889,219.444444444444,39.0111941558274,8,177.69,2
108,tg,3,7,567.666666666667,8.3706706209294,573.034787053769,0.247619047619048,23,7.88888888888889,10.6111111111111,217.333333333333,33.4372997083121,9,43.086,2
109,tg,1,12,559.111111111111,7.40774104165098,610.245153271075,0.228571428571429,19,4.88888888888889,9.83333333333333,178,21.0830054409279,10,80.939,3
109,tg,1,4,450.111111111111,10.2834116479077,1975.27985744301,0.615238095238095,20,5.33333333333333,11,149.444444444444,24.9593470297965,12,110.754,3
109,tg,1,7,537,11.9945977699552,2304.82511446362,0.424761904761905,28,2.83333333333333,9.66666666666663,167.222222222222,40.638660419479,5,197.609,2
109,tg,2,12,568.111111111111,8.4447825609511,466.998253410909,0.259047619047619,11,6.33333333333334,15,336.444444444444,26.1241554425481,6,37.772,1
109,tg,2,4,458.777777777778,9.38592528550049,1253.17244731848,0.401904761904762,22,4.61111111111111,10.1111111111111,197.333333333333,20.9688360999225,13,46.455,2
109,tg,2,7,567.555555555556,9.02369248866183,1014.17022080698,0.293333333333333,28,7.38888888888887,10.2222222222222,157,48.8766748040537,5,58.679,3
109,tg,3,12,569.444444444444,6.71907154377536,416.103997654563,0.207619047619048,19,7.11111111111111,13.1666666666667,324,39.086160370655,5,237.688,2
109,tg,3,4,493.888888888889,9.90294032552038,2810.15713445893,0.64,41,3.77777777777777,9,75.1111111111111,46.2826347095143,5,223.883,8
109,tg,3,7,573.444444444444,9.36883863134271,707.035955741848,0.228571428571429,16,5.72222222222221,7.88888888888889,280.222222222222,37.8126496675042,6,50.297,2
110,tg,1,12,575,7.50043234042617,378.336810062592,0.186666666666667,11,3.66666666666669,11.7777777777778,309.333333333333,15.5760577871022,10,263.596,2
110,tg,1,4,497.111111111111,8.21199892139025,1400.91782318528,0.481904761904762,24,3.05555555555557,8.77777777777777,172,24.6032393931026,13,49.071,2
110,tg,1,7,559.333333333333,8.72204568733511,876.059315548163,0.293333333333333,19,7.55555555555557,13.3333333333333,335.222222222222,18.559051252789,14,53.202,2
110,tg,2,12,572.555555555556,7.71343599011406,467.301388866342,0.19047619047619,22,6.99999999999998,13.8888888888889,306.444444444444,35.1501746085041,8,161.919,1
110,tg,2,4,489.555555555556,7.18363219489257,891.911726124249,0.354285714285714,27,3.33333333333337,9.16666666666663,230.888888888889,30.6953776139543,10,140.815,2
110,tg,2,7,544.444444444444,8.88276281562214,1753.77817244498,0.48,37,4.11111111111111,7.72222222222223,116.666666666667,34.0525752400836,13,133.059,3
110,tg,3,12,564.777777777778,8.17277204804253,1033.41169147749,0.272380952380952,30,7.94444444444443,13.1111111111111,107.666666666667,53.3956361818848,5,120.564,12
110,tg,3,4,394,8.17827644779878,1323.10951894176,0.500952380952381,23,2.55555555555556,8.33333333333334,154.555555555556,41.5694108314908,8,29.235,4
110,tg,3,7,545.555555555556,8.23566581806748,1592.3821179495,0.403809523809524,33,5.55555555555554,10.7222222222223,115.666666666667,28.1585658879196,18,9.053,7
111,tg,1,12,550.888888888889,8.57004225648903,1406.8441849919,0.356190476190476,41,5,7.38888888888889,102.111111111111,31.3767721474767,19,147.663,7
111,tg,1,4,304.777777777778,7.69252458390024,2570.81091000884,0.651428571428571,45,3.8888888888888,8.72222222222224,78.8888888888889,23.0763582629259,30,65.87,2
111,tg,1,7,515.333333333333,8.92654013014297,1571.53756163029,0.478095238095238,31,7.44444444444444,12.9999999999999,137.777777777778,29.436522475287,13,58.648,5
111,tg,2,12,538.333333333333,8.55797232004916,1498.84463706818,0.419047619047619,44,5.44444444444449,9.11111111111109,90.2222222222222,39.3721361219955,14,200.738,7
111,tg,2,4,404,9.18468539222494,2707.53847316273,0.645714285714286,47,4.33333333333337,8.83333333333337,93.5555555555556,31.270136113059,19,42.573,3
111,tg,2,7,476.444444444444,10.0896394146457,2039.0657182643,0.500952380952381,42,5.05555555555554,8.55555555555554,68.2222222222222,37.6253707667546,12,226.23,9
111,tg,3,12,545.666666666667,8.94782682041412,1345.39966595049,0.396190476190476,28,4.77777777777777,10.6666666666667,141.777777777778,36.4108248066566,9,141.584,1
